px0,py0,pz0,x0,y0,z0,px1,py1,pz1,x1,y1,z1
0,0,1964.79,4166.57,-5545.45,-14971.8,0,-0,0,3770.87,-5399.92,807.15
0,0,2708.47,-3740.95,3510.57,-14849,0,0,-0,-3764.09,3215.08,3267.81
0,0,2381.42,4207.76,3520.32,-14936,-0,-0,0,4345.39,3379.25,2072.2
0,0,2703.62,632.318,-1680.1,-14941.9,0,-0,0,374.599,-2369.04,3247.87
0,0,3605.38,-5736.22,1866.46,-14678.2,-36.1894,22.146,459.836,-6186.04,1848.78,7500
0,0,2581.76,774.058,-971.399,-14985.9,-0,-0,0,655.171,-1319.33,2172.65
0,0,1506.65,3409.23,-1609.57,-14949.6,0,0,0,3663.24,-1463.27,-604.318
0,0,3348.72,-4319.48,-1668.8,-14918.4,0,0,0,-4155.37,-1673.74,4187.86
0,0,5878.52,-1717.45,2107.93,-14969.3,36.7859,-31.2274,2707.68,-1681.88,1892.87,7500
0,0,3235.84,1799.24,3854.54,-14982.7,25.873,25.8561,157.337,2422.62,4695.98,7500
0,0,2405.69,5601.63,4883.39,-14977.8,0,0,0,5628.67,5471.77,2299
0,0,5519.98,-5524.42,-5174.78,-14997.6,83.4655,84.055,1489.07,-5100.19,-4930.05,7500
0,0,4875.3,3767.27,5548.58,-14989.5,-79.2939,-7.32135,1640.44,3514.94,5509.78,7500
0,0,1505.45,-890.91,625.182,-14774.4,-0,0,0,-1092.41,934.907,-324.106
0,0,2170.09,-5614.02,-3701.62,-14976.2,-0,0,0,-5540.34,-3734.56,1514.86
0,0,4255.85,-1108.98,992.605,-14983.7,-77.053,-28.4846,870.859,-1568.84,782.241,7500
0,0,4245.02,3431.02,5156.24,-14741.6,-41.1385,-16.5492,1017.79,3270.48,5147.57,7500
0,0,4973.77,1286.9,1671.76,-14971.4,-22.355,-72.2838,1720.28,908.178,1423.52,7500
0,0,4691.2,-4412.8,2133.86,-14886.3,-23.8252,34.7556,1549.74,-4440.65,2343.61,7500
0,0,2179.17,-1413.27,-4291.91,-14999.2,-0,-0,0,-1990.49,-4371.3,1639.28
0,0,1079.12,-656.458,-4422.79,-14977.4,-0,-0,0,-886.819,-4673.27,-1829.38
0,0,4882.03,-3977.95,5076.95,-14871.3,-38.3908,-43.97,1266.77,-4205.85,4821.44,7500
0,0,1451.27,2721.54,-154.788,-14958.5,-0,0,0,2539.84,-116.844,-974.621
0,0,3331.97,4028.27,-2335.74,-14918,-0,-0,0,4116.34,-2753.36,4204.76
0,0,1147.11,3974.07,1522.09,-14987.9,0,-0,0,4112.67,1488.55,-1883.84
0,0,3638.47,1079.55,1480.62,-14851.8,-42.7205,68.0183,492.959,945.555,1934.25,7500
0,0,4589.61,-2646.28,3022.98,-14987.8,68.8025,-68.6706,1389.9,-2516.27,2663.23,7500
0,0,5508.13,3264.47,-4047.94,-14988.6,25.1622,-37.3997,2250.86,3302.04,-4079.36,7500
0,0,4028.51,-859.468,-1555.15,-14992.6,6.65161,-3.5533,639.01,-1059.46,-1740.2,7500
0,0,2314.69,5036.49,3079.25,-14977.7,-0,-0,-0,4846.53,3249.37,1772.97
0,0,1178.53,3497.18,3413.29,-14941.7,0,-0,0,3543.99,3482.49,-1392.97
0,0,5009.85,-4634.29,1082.77,-14676,2.83005,-70.0837,1409.94,-4734.46,718.841,7500
0,0,1598.34,484.363,-1837.74,-14900.2,-0,-0,0,968.686,-2123.32,-75.4784
0,0,4370.38,526.499,1045.97,-14750.3,-29.7009,-21.3291,1246.7,312.347,892.944,7500
0,0,3146.12,-2613.83,2073.9,-14929.2,0,-0,0,-2754.6,2011.57,4292.62
0,0,3021.08,-4968.07,1161.36,-14999,-0,0,0,-5256.29,1239.86,4448.01
0,0,5622.89,3398.8,-5045.86,-14902.4,-4.70961,-35.6549,1611.52,3387.41,-5180.51,7500
0,0,1484.61,-2516.19,4950.38,-14945.7,-0,0,0,-2667.15,4755.2,-631.773
0,0,3069.5,4697.3,-3186.82,-14975.4,0,0,0,5349.86,-3467.25,4569.83
0,0,4578.75,-3135.31,1949.18,-14954.5,-51.3325,-9.12293,1104.11,-2964.51,1861.15,7500
0,0,3123.52,-291.983,-1871.13,-14844.3,-15.846,5.8004,51.2249,-903.585,-1112.97,7500
